Ratio,mA1,sA1,iA1,mA2,sA2,iA2,mA3,sA3,iA3,mA4,sA4,iA4,mA11,sA11,iA11,mA12,sA12,iA12,mA13,sA13,iA13,mA14,sA14,iA14,mA21,sA21,iA21,mA22,sA22,iA22,mA23,sA23,iA23,mA24,sA24,iA24,mA31,sA31,iA31,mA32,sA32,iA32,mA33,sA33,iA33,mA34,sA34,iA34,mA41,sA41,iA41,mA42,sA42,iA42,mA43,sA43,iA43,mA44,sA44,iA44,Label
17.5,111.47,38.71,53.68,0,10.15,12.2,-0.01,6.88,7.53,-0.01,2.87,3.13,224.41,72.02,100.4,-0.12,21.14,25.4,1.25,15.29,21.85,0.25,11.22,14.75,0.14,8.52,8.37,-0.61,15.53,19.41,-0.11,4.54,4.49,-0.13,8.69,10.08,0.12,6.79,4.62,-0.16,2.93,3.57,0.05,10.29,12.1,-0.45,5.22,5.86,0.03,1.28,1.22,0.04,2.59,3.05,-0.15,2.54,2.17,-0.15,4.26,5.34,1
150,128.79,35.4,44.08,-0.34,9.25,10.74,-0.24,7.29,6.3,0.05,2.64,2.97,256.58,64.18,75.31,-0.01,23.53,29.43,0.92,14.51,17.73,0.07,11.35,14.61,-0.4,8.11,7.44,0.87,14.08,16.86,-0.22,3.73,4.03,-0.24,8,10.39,-0.28,7.22,3.75,0.06,2.99,3.18,-0.71,11.05,11.1,0.19,5.41,6.47,-0.06,1.61,1.62,0.18,2.13,2.31,-0.45,2.57,2.88,0.39,3.65,4.67,1
175,56.01,43.41,49.49,-0.23,11.31,8.69,0.04,7.63,2.25,-0.03,1.81,1.49,113.02,82.38,97.67,0.88,23.96,25.6,0.34,11.18,9.84,0.69,7.17,9.18,0.01,12.99,6.4,-0.97,17.06,17.41,0.05,2.73,2.68,0.2,5.8,5.78,0.03,10.01,2.04,0.02,2,1.38,0.09,11,3.55,-0.26,2.52,2.63,-0.02,1.16,0.91,0.05,1.45,1.24,0.08,1.62,1.76,-0.22,2.63,2.14,1
5.110000134,147.51,30.41,35.78,-0.37,9.93,11.22,0.08,4.75,3.53,-0.01,2.02,1.8,296.42,54.79,65.34,-1.56,23.18,29.22,0.15,9.8,11.55,-0.94,7.87,8.49,-0.34,8.4,6.72,-2.66,16.37,21.41,-0.02,3.11,3,-0.43,6.52,8.2,0.15,5.57,2.76,0.04,2.99,3.04,-0.24,6.27,4.95,0.41,3.24,3.19,-0.08,1.56,1.08,0.01,2.24,2.18,-0.08,1.67,1.34,-0.08,2.45,2.65,1
14,116.78,41.65,54.14,0.11,9.55,9.46,0.11,7.44,2.43,0.05,1.95,1.85,234.34,78.36,98.96,-1.57,25.57,32.46,0.68,9.74,8.75,0.22,6.68,8.98,-0.89,9.38,7.38,-0.88,15.4,19.98,0.09,2.7,2.87,-0.41,5.29,6.82,0.23,10.01,2.46,0.04,1.97,1.69,-0.04,10.49,3.06,-0.02,2.47,2.67,0.01,1.3,0.97,0,1.62,1.56,-0.05,2.01,1.68,0.28,2.62,2.42,1
138,100.23,43.36,60.98,0.16,8.85,9.35,-0.04,5.31,3.07,-0.03,1.65,1.55,200.39,83.24,117.59,0.65,19.93,23.89,1.03,11.12,13.9,0.03,8.24,9.32,-0.4,8.62,4.72,-2.19,13.33,16.21,0.02,2.54,2.57,-0.03,6.56,7.55,-0.04,6.52,2.28,0.1,2.14,1.67,0.24,7.32,5.17,-0.14,2.95,2.66,0.02,0.84,0.73,0,1.56,1.39,-0.03,1.47,1.46,0.13,2.38,2.48,1
255,128.88,47.23,51.53,-0.11,15.82,14.48,0.02,7.44,6.77,-0.07,4.92,4.23,262.28,80.34,83.54,1.31,42.72,41.5,1.35,17.53,20.24,0.67,18.12,17.53,-0.5,13.51,8.18,4.03,24.65,23.94,0.25,4.32,4.11,0.08,13.2,12.12,-0.2,6.11,4.69,0.2,5.13,4.92,0.41,8.98,8.83,-0.06,8.79,9.41,0.01,1.95,1.77,-0.14,3.83,4.26,0.19,2.92,2.8,-0.25,8.35,6.82,1
15.89000034,102.47,31.3,37.44,-0.03,11.62,13.36,0.15,4.57,5.07,0.01,2.98,2.86,204.41,48.14,57.99,-0.48,36.63,33.91,0.41,11.2,14.39,-0.85,11.58,14.23,-0.09,8.88,8.96,0.38,19.77,24.88,0.08,2.81,3.29,-0.65,7.88,9.22,0.03,3.96,3.67,-0.01,3.38,3.57,-0.13,5.43,5.93,-0.17,5.18,6.31,-0.03,1.75,1.62,-0.1,2.82,3.05,-0.07,2.24,2.41,-0.01,4.4,5.36,1
17.54999924,146.18,47.99,69.47,-0.52,9.94,10.4,0.04,8.71,4.05,0.03,2.11,2.04,288.15,90.65,130.55,2.91,27.93,29.13,2.22,12.1,13.78,0.25,7.98,9.5,0.06,8.84,8.33,-0.7,16.39,17.87,0.01,3.79,3.76,-0.36,5.79,6.54,0.34,11.17,3.75,0.14,2.57,3.03,-0.22,12.04,6.33,0.22,4.02,4.94,0.05,1.35,1.29,0.2,1.82,1.7,-0.12,2.12,2.54,-0.2,2.86,2.69,1
9.31000042,130.31,30.32,36.06,0.21,8.92,10.03,-0.14,6.17,4.49,-0.02,2.68,2.54,261.8,51.93,61.38,0.86,27.65,27.69,0.33,11.03,13.05,0.69,9.57,10.56,0.13,6.29,7.04,1.37,14.18,15.71,-0.02,3.99,3.63,-0.05,7.85,8.34,-0.08,6.84,4.13,0.12,3.21,3.51,0.27,8.16,6.4,-0.4,4.96,4.45,0.12,1.46,1.57,0.07,2.52,2.8,0,2.57,2.61,-0.08,3.7,3.9,1
