Ratio,mA1,sA1,iA1,mA2,sA2,iA2,mA3,sA3,iA3,mA4,sA4,iA4,mA11,sA11,iA11,mA12,sA12,iA12,mA13,sA13,iA13,mA14,sA14,iA14,mA21,sA21,iA21,mA22,sA22,iA22,mA23,sA23,iA23,mA24,sA24,iA24,mA31,sA31,iA31,mA32,sA32,iA32,mA33,sA33,iA33,mA34,sA34,iA34,mA41,sA41,iA41,mA42,sA42,iA42,mA43,sA43,iA43,mA44,sA44,iA44,Label
4.320000172,201.76,39.84,58.61,0.06,17.75,25.54,0.14,7.34,8.6,0,6.5,7.62,412.05,72.07,117.5,-0.95,27.91,37.33,-0.17,18.05,23.93,-1.01,15.34,19.34,0.12,20.94,27.82,4.44,23.59,34.04,0.46,11.32,15.24,1.09,13.56,18.29,-0.05,5.69,5.15,-0.26,5.45,4.65,0.27,9.43,12.77,1.4,9.15,11.21,0.25,4.55,5.54,-0.32,4.99,5.26,0.07,7.77,10.47,-1.02,8.63,12.2,1
7.170000076,155.04,30.16,40.83,-0.65,17.6,23.75,0.16,8.39,10.1,-0.06,6.19,7.86,312.47,49.74,65.21,-0.8,26.36,33.9,-0.21,17.14,23.98,1.42,16.27,21.8,-0.15,18.29,21.62,-0.9,25.44,36.81,0.74,10.7,15.34,0.19,13.99,17.81,0.27,7.16,7.38,0.25,5.87,6.73,0.88,11.75,13.67,0.4,9.31,11.52,-0.12,4.64,5.17,0.09,4.77,5.54,-0.39,7.48,9.55,-0.43,7.62,9.61,1
7.170000076,155.04,30.16,40.83,-0.65,17.6,23.75,0.16,8.39,10.1,-0.06,6.19,7.86,312.47,49.74,65.21,-0.8,26.36,33.9,-0.21,17.14,23.98,1.42,16.27,21.8,-0.15,18.29,21.62,-0.9,25.44,36.81,0.74,10.7,15.34,0.19,13.99,17.81,0.27,7.16,7.38,0.25,5.87,6.73,0.88,11.75,13.67,0.4,9.31,11.52,-0.12,4.64,5.17,0.09,4.77,5.54,-0.39,7.48,9.55,-0.43,7.62,9.61,1
10.35999966,148.12,45.44,70.44,0.13,13.48,15.79,0.19,4.97,5.24,-0.01,4.03,4.83,290.56,89.76,140.17,-1.31,20.27,26.85,-0.96,11.51,16.73,-0.42,9.53,11.92,2.42,17.57,19.13,1.7,19.74,26.01,0.12,8.17,11.02,-0.35,8.82,12.16,0.33,6.57,3.58,-0.09,3.41,3.28,0.31,6.4,7.34,0.44,5.67,7.07,-0.09,2.62,3.09,-0.18,2.99,3.22,-0.67,4.88,6.81,0.18,5.37,6.59,1
11.75,131.93,39.92,55.33,0.43,11.86,14.57,0.14,7.13,5.63,0.03,4.47,5.58,267.84,78.36,113.22,0.04,20.34,21.78,1.11,12.9,14.41,-0.24,10.49,13.68,1.21,15.42,14.23,1.01,15.87,19.26,0.45,7.65,10.02,-0.32,10.32,13.63,-0.33,11.63,4.5,-0.17,3.79,4.24,-0.06,11.58,7.61,-0.49,5.61,7.19,0.21,2.97,3.31,-0.08,3.7,3.63,-0.55,5.27,6.68,0.08,6.08,7.83,1
9.880000114,141.76,46.44,71.06,0.34,16.7,20.54,0.08,6.29,7.71,-0.24,5.52,6.89,280.11,88.13,146.22,2.71,25.14,32.22,1.74,15.94,21.15,1.04,12.17,15.17,2.81,21.4,21.91,0.18,24.81,29.9,0.14,9.79,13.04,-0.18,11.6,13.53,-0.2,4.88,4.23,-0.1,4.62,4.32,-0.47,8.05,10.71,0.41,8.07,10.16,-0.09,4.37,4.94,-0.08,4.43,4.54,0.07,6.04,7.16,0.07,7.65,9.54,1
11.32999992,107.35,34.61,46.35,0.47,13.92,17.83,0.28,6.03,6.7,0.13,4.96,6.19,209.52,63.19,89.02,2.19,21.72,29.76,-0.16,12.87,19.03,0.15,12.32,16.46,1.49,16.32,17.47,0.82,19.23,24.47,0.44,9.6,12.66,-0.33,11.11,15.44,0.18,6.76,5.64,-0.05,3.94,3.87,0.19,8.37,8.18,0.81,6.7,8.62,-0.04,3.13,3.55,0.04,3.87,4.55,0.51,5.36,6.78,-0.46,7.06,8.66,1
8.100000381,159.67,44,68.7,-0.03,16.56,21.17,0.26,6.76,8.03,-0.04,5.73,6.68,328.76,83.13,130.19,-4.22,26.39,34.41,-0.78,17.03,20.18,-0.75,14.71,17.62,2.21,19.3,17.92,1.74,25.49,33.86,0.08,9.59,11.66,-1.12,12.89,16.1,0.19,5.77,5.21,0.23,4.7,5.44,-0.07,8.97,9.24,-0.34,7.97,10.33,-0.02,4.13,4.56,-0.07,4.78,5.62,0.21,6.35,7.71,-0.04,7.58,8.97,1
152,111.48,42.89,54.35,0.49,12.56,14.34,0.1,8.26,7.39,0.41,5.14,6.21,215.24,82.12,114.22,-1.72,19.77,23.59,-1.22,15.46,18.93,0.44,12.68,14.69,2.44,17.28,11.15,0.8,18.37,18.66,0.46,7.41,8.68,-0.99,10.32,12.59,0.02,12.79,5.59,-0.11,4.36,4.37,0.09,12.51,10.37,-0.23,7.32,10.14,0.34,4.16,3.69,-0.06,4.71,4.86,0.79,5.45,7.16,0.41,7.2,9.49,1
18.32999992,80.8,32.55,42.95,-0.42,10.22,12.62,0.04,5.32,6.54,0.01,4.14,5.23,159.37,62.51,88.23,1.51,14.58,18.74,-1.14,10.02,13.09,-0.18,9.66,11.5,0.53,12.47,13.23,-0.6,13.79,17.09,0.12,6.47,9.05,-0.84,8.38,10.64,0.52,5.25,4.6,-0.11,3.58,4.61,0.23,7.13,9.2,0.35,5.91,7.62,-0.02,3.05,3.58,0.35,3.31,4.25,-0.38,4.31,5.52,0.02,5.48,7.69,1
3.910000086,191.62,32.57,42.69,0.11,17.17,23.15,-0.1,8.04,10.08,-0.11,6.54,8.64,382.59,55.38,77.29,-3.25,25.3,32.46,-0.64,16.32,24.14,-0.8,15.34,20.33,-0.31,17.76,22.8,-2.85,22.76,29.44,-0.8,12.45,17.14,-0.97,13.61,19.91,0.04,5.23,6.21,0.3,5.56,6.85,-1.25,10.13,15.59,0.06,9.87,13.02,-0.42,4.34,5.37,-0.45,4.82,5.2,0.11,7.46,10.14,0.35,8.52,11.46,1
12.32999992,112.18,30.32,42.15,0.28,13,17.89,0.3,4.28,4.41,-0.04,3.03,3.72,224.74,54.43,75.34,2.39,23.95,31.9,0.11,11.03,14.93,0.66,11.4,15.62,1.1,14.33,19.48,-1.05,18.97,24.87,-0.17,6.95,10.23,-0.48,9.81,12.51,0.11,4.83,3.33,-0.04,3.4,2.7,-0.23,5.86,6.29,-0.12,4.95,5.69,0.06,2.2,2.51,-0.08,2.47,2.7,0.18,3.41,5.13,-0.99,4.21,5.72,1
4.239999771,179.05,32.96,43.87,-0.38,14.28,17.29,0.17,5.07,5.52,0.05,4.06,4.71,356.57,60.17,79.86,-6.16,21.81,29.77,0.06,12.69,15.09,0.22,10.49,13.58,0.77,18.75,20.52,2.65,21.44,28.3,-0.39,7.34,10.45,-0.43,9.85,12.31,0.47,5.39,4.02,0.51,3.81,4.18,-0.06,6.86,7.36,0.51,5.81,7,0.04,2.82,3.15,0.22,2.92,3.51,-0.03,4.74,5.27,0.61,5.55,6.3,1
4.78000021,133.09,28.75,43.25,0.57,12.24,15.24,0.15,3.86,3.57,-0.07,3.02,3.21,267.5,51.79,82.54,-0.5,20.76,28.98,-0.28,9.39,11.2,-0.03,8.05,9.6,2.44,14.36,17.15,1.04,18.11,21.36,-0.37,6.98,7.7,-0.12,7.74,10.09,-0.01,4.55,3.03,0,2.88,2.87,-0.32,5.36,5.08,0.21,4.04,4.79,-0.1,2.26,2.55,-0.19,2.46,2.42,0.1,3.94,4.5,-0.21,3.64,4.4,1
5.929999828,149.63,37.95,50.32,0.28,13.07,15.75,0.22,7.24,7.35,-0.11,4.79,5.95,298.06,71.09,98.34,-5.25,21.5,27.71,-0.24,13.3,16.58,0.2,12.28,14.33,1.17,16.48,15.51,-1.36,18.49,21.8,-0.11,7.92,11.17,-0.97,10.34,13.96,0.31,9.46,5.77,-0.26,4.17,5.46,0.49,10.58,9.52,-0.89,7.43,8.88,-0.04,3.16,3.78,0.23,4.28,4.61,0.3,5.11,6.5,0.27,6.84,8.94,1
6.699999809,142.23,32.36,46.05,0.22,14.26,19.09,-0.08,5.91,7.19,-0.02,5.1,6.25,285.01,58.15,84.11,-1.49,24.17,30.16,-0.75,14.85,20.99,0.06,12.82,15.75,1.13,16.08,19.13,0.75,19.29,24.5,0.26,8.9,11.92,-1.42,11.55,15.47,-0.07,4.44,5.11,0,4.65,4.69,0.87,7.19,9.25,-0.07,7.34,10.03,0.11,3.86,4.2,-0.02,4.23,4.28,0.27,6.09,7.38,0.7,6.29,8.21,1
4.519999981,205.23,41.58,62.77,0.48,17.58,22.6,0.25,7.87,9.78,0.1,6.92,9.03,410.75,76.07,119.21,-0.73,30.15,38.05,-1.07,16.05,20.12,-0.42,15.51,20.3,2.31,19.22,25.74,-5.9,24.5,30.97,0.52,11.86,15.16,0.42,13.54,17.01,0.28,5.88,6.76,0.14,6.24,6.16,-0.58,10.16,12.96,1.04,9.62,13.4,-0.27,5.21,6.08,-0.09,5.29,6.38,-0.3,8,9.97,0.29,9.46,12.65,1
4.860000134,153.9,32.03,42.22,-0.09,14.73,18.23,0.04,5.77,6.47,0.02,4.37,5.13,304.99,57.18,79.27,-4.66,23.43,32.86,1.6,13.94,18.64,0.12,12.15,15.83,0.38,16.63,17.86,1.68,21.77,28.83,0.05,9,11.1,-0.38,11.07,14.88,-0.17,6.82,4.46,-0.04,3.3,3.74,-0.97,8.33,7.63,-0.13,6.27,8.06,-0.15,2.82,2.97,-0.05,3.42,3.97,0.22,4.95,6.09,-0.08,6.09,7.65,1
3.910000086,237.88,44.19,62.48,-0.55,17.96,23.84,-0.08,8.52,10.03,-0.03,6.9,8.49,475.07,78.85,121.26,-0.71,29.38,37.85,-0.73,19.89,24.26,-1.01,16.21,22.04,1.02,19.43,23.75,-0.58,25.01,31.29,-0.78,11.47,17.6,-0.92,14.71,20.14,-0.41,7.4,7.5,-0.09,6.56,6.2,-0.37,11.17,14.36,-0.13,9.85,13.13,-0.33,4.66,4.95,0.49,6.06,7.51,-1.05,7.22,9.11,2.09,9.14,11.92,1
3.779999971,150.58,28.34,38.31,0.07,12.05,16.09,0.31,4.41,5,0.04,3.64,4.59,299.27,49.2,72.05,-1.27,23.32,30.64,0.3,12.55,14.3,0.01,11,14.78,0.08,9.97,10.98,-0.3,18.2,27,-0.25,7.29,9.99,-0.12,10.52,14,0.26,4.67,3.9,0.3,3.39,3.28,-0.56,5.55,6.04,0.01,5.16,6.55,0.05,2.55,2.62,0.16,2.87,3.13,0.12,4.15,5.7,-0.12,5.09,6.66,1
4.679999828,177.84,37.61,55.58,0.01,14.8,19.51,-0.1,7,8.88,0.1,5.86,7.04,361.71,69.94,103.02,-4.84,24.1,33.17,-0.78,15.91,20.7,-0.38,14.81,20.89,0.6,17.66,18.69,0.96,21.26,28.72,-0.38,9.91,14.32,-0.06,11.66,15.75,-0.69,5.71,6.38,-0.02,5.06,6.08,-0.46,8.34,10.99,0.45,8.69,9.71,-0.26,3.85,4.91,0.3,5.16,5.36,-0.01,6.36,8.93,0.59,7.73,9.25,1
6.239999771,125.4,31.82,49.67,-0.53,11.71,14.77,-0.15,6.24,6.95,-0.04,4.7,6.04,253.61,59.02,99.48,-1.36,17.26,21.54,0.53,12.35,13.86,-0.18,10.63,13.1,-0.63,12.69,13.28,-3.97,15.37,17.05,-0.2,7.51,9.74,-0.24,9.02,12.38,0.02,5.83,5.36,-0.24,3.85,5,1.82,7.92,9.32,0.67,6.4,8.69,-0.1,3.31,4.05,0.1,3.73,4.98,0.5,5.48,7.02,-0.41,5.76,7.4,1
6.059999943,182.99,41.8,64.87,0.55,15.12,19.34,0.12,7.73,8.74,0.24,5.95,7.37,373.68,77.79,126.5,-5.25,28.84,36.32,1.6,16.75,20.42,-0.21,13.09,17.85,3.11,16.97,19.85,-0.44,22.12,26.67,-0.56,9.41,12.79,0.16,11.46,14.81,-0.25,8.69,5.14,0.09,5.34,4.82,-1.11,11.1,11.91,0.35,8.33,11.24,0.63,4.74,4.57,0.21,4.94,5.19,-0.03,6.78,9.18,0.16,7.7,9.77,1
5.059999943,184.87,43.53,66.72,0.86,15.77,20.37,-0.05,6.34,6.96,0.08,5.25,6.36,370.18,81.62,135.36,-1.27,23.54,30.06,1.21,14.63,19.74,-0.77,12.01,15.77,1.26,18.15,24.06,-1.53,20.85,27.36,-0.59,9.44,12.83,0.83,11.07,14.81,0.31,5.34,4.69,-0.16,3.74,3.97,1.01,8.25,9.61,0.4,6.92,9.93,-0.33,3.16,3.39,-0.15,3.83,4.37,0.07,6.02,8.42,-0.62,7,8.79,1
8.100000381,139.48,46.6,66.11,-0.14,13.71,17.25,0.05,7.83,6.43,0.24,4.97,6,280.8,88.92,126.64,0.8,21.75,25.24,0.81,13.03,17.11,0.54,11.62,15.36,-0.35,15.24,17.17,-0.44,17.9,25.07,0.21,8.92,11.97,0.76,10.72,15.04,-0.12,8.57,4.81,-0.06,3.76,4.04,0.81,10.38,9.36,-0.27,6.63,8.06,0.05,3.58,4.34,0.04,3.64,4.4,-0.54,5.39,7.07,0.14,6.55,7.47,1
6.139999866,182.64,45.5,70.97,0.07,18.49,22.28,-0.14,8.55,11.58,0.2,7.22,8.94,371.21,82.89,131.79,-1.11,27.06,36.66,-2.05,19.32,25.47,-2.23,17.34,22.9,-0.09,19.38,22.94,-4.07,24.72,31.79,-0.23,11.7,14.93,0.55,15.35,20.38,-0.56,5.79,6.02,0.25,4.68,6.42,-0.97,10.67,13.44,-2.21,10.86,14.63,-0.11,4.79,5.95,-0.16,5.2,6.25,-0.98,8.56,10.84,0.22,9.13,10.9,1
4.440000057,166.33,32.76,44.12,-0.34,13.22,15.4,0.18,6.77,7.09,-0.02,4.63,5.79,335.8,59.74,76.88,-1.73,19.58,26.78,0.17,13.48,17.26,0.6,12.34,15.47,-1.42,15.09,19.49,-3.76,16.68,20.74,-1.04,8.31,10.79,-0.5,10.11,14.29,0.48,6.35,4.81,0.25,3.5,4.83,-1.18,8.97,9.72,0.43,6.73,9.34,0.45,3.14,3.95,0.2,3.57,4.66,-0.35,4.93,6.15,-1.04,6.16,7.54,1
10.13000011,138.33,41.08,59.61,0.1,15.59,17.29,0.21,6.01,7.08,-0.35,5,6.49,281.74,77.6,122.79,-1.42,19.72,27.43,0.92,13.82,19.77,-0.52,11.99,15.72,-0.68,17.53,19.61,-3.21,21.69,23.58,-0.48,8.3,9.7,0.1,10.69,15.3,0.26,4.58,4.65,-0.07,3.56,4.65,0.38,7.97,9.88,-0.39,6.85,8.43,-0.16,3.58,5.08,-0.01,3.62,5.15,0.81,5.68,7.23,0.23,6.4,8.48,1
12.46000004,151.75,36.47,49.37,1.12,18.22,24.81,0.24,8.85,10.99,0.27,7.06,8.57,311.27,59.66,79.24,-4.58,33.3,46.73,0.24,18.86,27.01,0.47,16.73,20.37,1.48,17.99,26.7,-2.2,25.14,32.61,0.53,12.41,18.36,1.26,14.52,19.39,0.26,6.69,6.39,0.05,5.2,5.67,0.07,11.23,14.94,0.26,10.73,12.45,0.39,5.24,6.42,-0.82,5.45,6.62,-1.11,7.47,10.05,1.59,9.12,12.03,-1
4.519999981,143.06,21.41,28.09,-0.28,13.58,18.33,0.4,5.84,7.23,0,5.02,6.42,289.17,32.58,41.23,2.93,21.18,28.1,-1.38,13.84,19.74,-0.51,11.3,15.91,0.32,13.43,17.52,-0.13,19.22,26.76,0.01,8.38,11.59,1.43,10.82,15.52,0.11,4.79,5.55,-0.1,3.76,4.87,0.69,7.12,9.63,-0.49,6.94,7.99,0.01,3.66,5.14,0.06,3.84,4.37,-0.48,5.92,8.43,0,6.13,8.55,-1
6.050000191,118.03,23.46,28.95,1.07,12.82,16.68,0.01,5.55,5.93,0.07,4.32,5.14,239.54,38.47,50.13,-1.43,21.12,24.66,-0.32,12.4,14.68,0.62,10.76,14.55,1.19,12.85,16.94,0.19,18.47,25.35,-0.19,8.11,11.03,0.59,9.23,12.26,-0.67,4.92,4.76,0.1,3.35,3.98,0.17,6.99,8.12,0.22,6.22,7.66,0.41,2.83,3.54,-0.31,3.16,3.47,0.05,4.89,5.84,0.05,5.72,7,-1
8,109.42,27.19,35.37,0.18,13.49,18.42,0.25,6.07,7.62,-0.04,4.93,6.41,219.76,47.31,65.07,-3.85,20.09,24.29,-0.98,12.74,19,-0.48,12.22,19.29,0.33,14.34,16.94,-2.77,17.87,22.91,-0.36,8.21,10.21,1.02,11.3,15.52,-0.25,4.54,5.01,0.06,3.84,4.64,0.43,7.87,10.04,0.42,7.05,9.16,-0.37,3.38,4.41,-0.15,3.79,4.8,0.27,5.38,7.31,1.36,6.39,8.69,-1
20,69.2,22.43,33.69,0.23,9.17,12.22,0.09,4.25,5.23,-0.02,3.53,4.46,139.1,40.84,62.98,-2.08,13.85,18.29,0.49,8.82,12.08,0.18,8.41,10.42,0.18,10.02,13.24,-1.42,12.34,16.78,-0.18,5.48,6.99,0.46,7.14,9.33,-0.05,3.53,3.59,-0.02,2.95,3.65,0.07,5.34,6.81,0.03,4.71,6.22,-0.18,2.46,3.1,-0.02,2.66,3.27,0.28,3.91,5.81,0.17,4.63,5.85,-1
26.32999992,68.91,20.59,29.43,-0.22,10,13.37,0.12,5.71,6.23,-0.08,3.68,5.12,141.43,33.65,47.4,-0.51,17.25,22.56,-1.88,11.88,15.93,0.68,11.04,14.63,-0.2,8.75,11.98,-2.64,14.36,19.34,0.37,5.48,7.78,0.27,9.19,12.69,0.16,5.57,4.54,0.41,3.21,4.19,-0.87,7.32,7.55,0.29,5.82,7.68,0.04,1.64,2.3,0.05,2.67,3.48,-0.39,3.34,4.41,-0.54,5.72,7.87,-1
12.57999992,147.99,38.61,52.04,-0.48,15.47,20.77,0.19,8.43,10.76,-0.2,6.52,8.16,302.5,68.39,103.23,2.82,27.52,35.34,0.22,17,22.66,-1.63,15.24,20.46,-1.04,15.08,18.81,2.08,22.07,30.48,-0.47,9.05,12.65,-0.37,12.67,17.74,0.15,6.56,6.39,0.25,5.39,7.16,-1.29,10.8,12.79,-0.91,9.68,12.79,-0.18,4.33,5.43,-0.2,4.99,6.9,0.57,6.84,9.43,-1.76,8.82,9.97,-1
7.050000191,130.45,30.84,42.3,-0.06,15.06,18.49,0.33,6.45,7.93,0.08,5.71,7.13,265.88,54.88,81.15,0.14,20.39,27.85,-0.22,14.25,18.47,0.55,13.16,16.12,0.08,15.62,19.95,-1.72,20.68,23.57,-0.01,10.14,14.27,-1.16,11.03,14.31,0.28,4.66,5.18,-0.13,4.15,4.83,0.2,8.19,10.97,0.03,7.68,10.51,-0.27,3.74,4.71,-0.41,4.09,4.36,0.05,6.78,8.02,0.73,7.23,9.79,-1
17.70999908,117.02,26.56,35.96,-0.46,13.76,19.1,0.05,7.96,9.43,-0.1,5.86,7.42,237.73,41.2,51.34,-2.2,25.74,33.9,-1.12,16.27,20.37,0.51,13.77,19.17,-0.42,13.4,19.3,-0.02,18.53,24.96,-0.71,9.79,13.71,-1.85,11.71,16.84,0.07,6.04,5.91,-0.62,5.03,6.32,2.02,9.8,12.06,-0.68,9.54,11.68,-0.14,3.98,5.14,0.46,4.53,5.65,0.49,6.57,8.7,-0.14,7.59,11.09,-1
5.590000153,164.57,36.96,54,-0.6,15.79,21.16,0.18,7.87,9.28,-0.08,5.92,7.59,332.23,64.18,104.25,-1.29,27.8,36.28,-1.36,17.37,24.86,-0.09,16.34,22.85,0.83,15.98,20.82,4.3,21.38,29.12,-0.47,10.66,14.64,-0.2,12.44,17.53,-0.42,6.39,6.68,-0.07,4.24,5.33,1.3,10.54,14.84,0.96,8.63,11.17,0.02,3.82,4.76,-0.2,4.43,5.9,0.66,6.81,9.14,-0.77,7.57,9.84,-1
3.940000057,153.26,27.12,35.74,-1.47,16.17,21.69,0.2,7.56,9.25,0.07,6.38,8.12,304.54,40.99,63.28,0.07,26.1,37.72,0.71,17.88,23.79,-0.66,16.09,21.14,-1.16,16.4,22.09,1.17,21.52,29.37,-0.75,11.89,16.05,-0.65,13,16.16,0.13,5.31,5.8,0.36,4.62,5.7,-0.41,10.03,12.32,2.12,8.81,12.34,0.1,4.11,4.64,0.33,4.57,5.07,-0.97,7.34,9.56,-1.46,8.24,9.86,-1
11.68999958,158.61,37.29,55.25,-0.34,16.21,20.82,-0.05,7.84,8.87,-0.05,5.26,6.63,320.49,65.33,97.56,2.54,27.44,36.29,0.7,17.88,26.03,1.95,14.72,19.1,-0.56,17.17,19.98,0.28,22.61,26.52,-0.92,9.85,11.85,-0.7,12.09,15.89,-0.08,7.42,6.09,0.43,4.41,5.15,-0.21,10.12,12.41,-0.1,8.24,11.1,-0.1,3.77,4.96,-0.01,4.31,5.27,-0.36,5.78,8.09,-0.78,6.61,8.65,-1
4.389999866,150.36,29.25,41.45,-0.23,17.1,22.23,-0.1,8.37,10.85,0.03,6.47,7.86,303.13,43.91,59.74,-3.49,27.88,36.55,0.04,21.34,29.08,0.39,16.02,22.84,-0.48,16.69,22.26,2.95,23.46,33.25,0.21,10.89,13.63,-1.47,14.78,19.77,-0.56,5.48,7.09,0.2,4.6,5.52,0.34,10.68,13.6,0.28,10.73,13.75,0.09,4.24,4.92,0.1,4.81,6.11,-0.01,7,9.73,0.35,8.78,11.98,-1
74.5,133.37,33.64,38.58,-0.05,15.9,21.15,-0.06,9.33,10.22,0.38,6.29,7.63,270.01,55.29,64.78,1.1,28.59,34.17,-0.75,18.99,24.32,1.51,16.72,20.88,-1.22,15.16,20.18,-0.42,22.31,32.52,1.11,10.12,12.96,-1.19,13.41,17.55,-0.16,8.48,6.38,-0.11,5.12,6.43,2.59,12.01,14.28,0.55,9.75,14.1,0.24,3.57,4.83,-0.14,4.74,5.18,0.35,6.74,8.88,0.94,8.78,11.66,-1
11.64000034,104.83,25.14,32.33,0.43,13.02,17.96,0.13,6.74,8.1,0.11,4.82,6.19,209.28,43.03,58.23,0.6,19.35,24.78,0.48,13.56,17.86,1.16,10.86,14.96,-0.05,12.51,15.51,-1.2,18.24,25.34,-0.3,8.66,12.11,0.1,10.53,13.24,0.04,5.37,5.25,-0.43,3.95,4.9,-0.16,8.39,9.3,-0.44,8.18,10.14,-0.08,3.4,4.22,0.22,3.39,4.24,-0.59,5.22,7.67,-0.22,6.46,8.41,-1
6.050000191,118.52,24.73,30.4,0.94,12.97,16.18,0.34,5.36,5.7,-0.19,4.21,5.23,237.16,41.55,51.02,-1.29,21.79,28.58,-0.23,11.87,17.51,0.46,9.84,12.45,1.9,13,17.06,1.01,18.83,24.5,0.03,7.48,9.99,-0.28,9.63,11.93,0.48,5.37,5.31,-0.04,3.28,4.01,-0.22,6.82,8.1,-0.29,5.37,6.8,-0.04,2.95,3.84,-0.01,2.82,3.44,0.33,4.95,5.81,0.52,5.39,7.66,-1
5.190000057,143.86,21.68,29.51,-0.26,15.92,16.63,0.39,6.11,7.42,-0.12,5.08,5.8,289.28,31.64,45.97,1.69,23.93,30.88,-0.28,12.5,17.42,0.7,12.22,16.19,0.09,18.08,16.34,-0.11,22.42,24.62,0.48,9.01,11.73,-0.17,9.88,13.84,-0.05,4.67,4.77,-0.3,3.78,4.65,0.14,8.03,10.63,0.65,6.9,8.27,-0.01,4.04,4.33,0,3.56,4.19,-0.55,5.58,7.2,-0.26,6.57,7.74,-1
5.71999979,145.74,33.29,45.46,-0.56,16.64,21.09,0.22,8,9.61,-0.13,6.13,8.45,290.33,55.19,74.88,-1.25,28.92,35.12,0.56,17.61,25.22,-0.77,15.42,20.31,-0.38,15.66,18.95,-1.4,23.31,29.38,0.59,10.86,14.62,0.1,14.02,19.09,0,5.4,6.44,0.02,4.66,5.61,-0.95,10.14,12.3,-0.53,9.92,13.66,-0.48,4.19,5.22,0.37,4.63,5.4,0.28,6.75,9.16,-0.04,8.09,10.96,-1
8.600000381,123.23,34.08,47.63,-0.65,14.85,20.51,0.23,8.52,9.39,0.3,6.28,8.08,246.58,58.95,83.98,1.9,24.64,29.11,-0.15,17.24,23.5,0.4,16.24,20.8,0.04,15.11,19.96,2.42,19.05,24.05,-0.42,10.06,12.19,0.18,13.72,18.85,0.17,7.5,6.59,0.17,4.56,5.3,1.13,11.25,14.19,-0.71,8.99,11.89,-0.08,4.47,5.91,0.53,4.55,6.38,0.44,7.55,9.03,0.01,7.75,10.14,-1
8.760000229,134.74,31.29,39.97,-0.58,16.39,23.03,0.15,8.71,10.73,0.08,6.56,9.2,269.95,48.54,59.66,2.47,30.15,36.14,1.23,19.34,26.28,-0.1,16.19,22.94,0.05,15.71,18.31,0.43,22.78,33.11,-0.05,10.6,14.62,1.52,13.96,18.01,-0.02,7.82,6.68,0.44,4.82,5.89,1.72,11.26,12.72,-1.57,9.27,13.46,-0.01,4.13,5.31,0.14,4.65,6.24,-0.53,6.92,8.3,1.39,9.18,12.19,-1
4.789999962,154.38,27.27,37.14,-0.69,16.42,22,0.19,7.09,9.24,0.03,6.3,8.07,307.18,41,61.57,0.12,26.52,35.91,0.98,16.76,23.12,0.99,17.56,23,1.79,17.5,23.64,-0.22,21.21,23.57,-0.16,11.9,17.38,0.28,13.45,18.67,-0.17,4.7,6.04,-0.03,4.57,5.84,0.87,9.19,12.86,-0.75,8.5,12.25,-0.05,4.56,5.91,-0.11,4.58,4.99,0.44,7.12,9.67,0.99,8.03,10.51,-1
5.53000021,151.91,32.26,39.6,0.46,16.64,22.26,0.11,7.68,10.16,-0.02,6.39,8,305.1,52.09,64.87,-0.65,28.68,32.87,-0.62,18.27,26.04,0.29,17.11,23.57,0.45,16.48,23.19,-1.15,23.32,29.03,-0.09,10.69,14.05,0.68,13.31,18.25,0.56,4.85,5.99,0.05,4.75,6.1,0.5,9.99,13.91,-0.07,9.46,12.92,0.01,4.49,5.34,-0.04,4.6,5.43,0.67,6.89,8.75,0.09,8.6,11.68,-1
5.150000095,154.09,28.97,37.91,0.66,12.72,16.68,0.04,7.35,8.3,0.09,5.96,7.9,311.05,50.71,69.02,-0.99,20.13,26.64,-1.21,14.38,19.82,-0.69,13.06,18.94,1.68,13.3,17.55,-0.98,15.79,20.83,-0.06,8.73,11.15,-0.51,11.92,15.24,0.01,6.37,6.3,0.24,4.6,5.54,-0.24,9.43,11.62,1.18,8.05,11.15,-0.1,4.09,5.42,-0.01,4.37,5.93,0.19,7.03,9.77,-0.33,7.54,10.32,-1
23.32999992,115.11,32.73,43.93,-0.31,15.59,19.97,0,8.33,9.31,-0.16,5.8,7.2,228.23,55.66,78.8,-2.43,25.75,32.58,1.75,16.74,17.7,-0.02,15.51,21.03,0.64,16.35,18.32,-0.66,20.55,27.35,-0.09,10.16,12.71,-0.48,13.35,17.29,-0.24,6.83,5.67,0.02,4.39,5.15,0.29,11.39,13.11,-0.14,8.91,11.93,0.18,3.86,4.7,-0.19,3.9,4.83,0.07,6.72,8.98,1,7.67,10.15,-1
21.5,107.36,35.68,47.18,-0.35,15.07,18.32,-0.09,9.48,11.33,-0.26,6.56,8.7,210.6,61.94,91.5,-0.89,26.78,31.81,-1.18,17.07,20.83,-0.84,15.71,21.53,-0.99,14.76,16.74,1.56,20.56,22.84,1.15,9.2,12.63,-1.44,13.43,16.73,-0.61,8.23,8.06,0.18,5.72,7.63,-0.29,12.78,16.08,0.67,9.73,12.86,-0.07,4.42,5.52,-0.26,4.87,6.37,0.03,7.37,9.87,0.4,8.62,11.81,-1
